i-traits	type	date	angle	MLP
T2-T.149	HSI	T2	side	0.2868
T2-T.150	HSI	T2	side	0.3376
T2-T.151	HSI	T2	side	0.344
T2-T.152	HSI	T2	side	0.285
T2-T.153	HSI	T2	side	0.3248
T2-T.154	HSI	T2	side	0.3226
T2-T.155	HSI	T2	side	0.3092
T2-T.156	HSI	T2	side	0.2544
T2-T.157	HSI	T2	side	0.272
T2-T.158	HSI	T2	side	0.2348
T2-T.159	HSI	T2	side	0.322
T2-T.160	HSI	T2	side	0.3202
T2-T.161	HSI	T2	side	0.3
T2-T.162	HSI	T2	side	0.2866
T2-T.163	HSI	T2	side	0.3214
T2-T.164	HSI	T2	side	0.2724
T2-T.165	HSI	T2	side	0.269
T2-T.166	HSI	T2	side	0.2734
T2-T.167	HSI	T2	side	0.3902
T2-T.168	HSI	T2	side	0.3278
T2-T.169	HSI	T2	side	0.2478
T2-T.170	HSI	T2	side	0.2986
T2-T.171	HSI	T2	side	0.2968
T2-T.172	HSI	T2	side	0.2866
T2-T.173	HSI	T2	side	0.293
T2-T.174	HSI	T2	side	0.3004
T2-T.175	HSI	T2	side	0.2716
T2-T.176	HSI	T2	side	0.2866
T2-T.177	HSI	T2	side	0.3284
T2-T.178	HSI	T2	side	0.3414
T2-T.179	HSI	T2	side	0.3146
T2-T.180	HSI	T2	side	0.3154
T2-T.181	HSI	T2	side	0.3234
T2-T.182	HSI	T2	side	0.2874
T2-T.183	HSI	T2	side	0.3504
T2-T.184	HSI	T2	side	0.3242
T2-T.185	HSI	T2	side	0.2738
T2-T.186	HSI	T2	side	0.351
T2-T.187	HSI	T2	side	0.2902
T2-T.188	HSI	T2	side	0.314
T2-T.189	HSI	T2	side	0.3054
T2-T.190	HSI	T2	side	0.2922
T2-T.191	HSI	T2	side	0.347
T2-T.192	HSI	T2	side	0.2988
T2-T.193	HSI	T2	side	0.2692
T2-T.194	HSI	T2	side	0.289
T2-T.195	HSI	T2	side	0.3528
T2-T.196	HSI	T2	side	0.293
T2-T.197	HSI	T2	side	0.3254
T2-T.198	HSI	T2	side	0.2714
T2-T.199	HSI	T2	side	0.3578
T2-T.200	HSI	T2	side	0.3634
T2-T.201	HSI	T2	side	0.2982
T2-T.202	HSI	T2	side	0.2606
T2-T.203	HSI	T2	side	0.2816
T2-T.204	HSI	T2	side	0.2874
T2-T.205	HSI	T2	side	0.2944
T2-T.206	HSI	T2	side	0.3018
T2-T.207	HSI	T2	side	0.3276
T2-T.208	HSI	T2	side	0.293
T2-T.209	HSI	T2	side	0.3086
T2-T.210	HSI	T2	side	0.2832
T2-T.211	HSI	T2	side	0.2952
T2-T.212	HSI	T2	side	0.2834
T2-T.213	HSI	T2	side	0.342
T2-T.214	HSI	T2	side	0.3134
T2-T.215	HSI	T2	side	0.2932
T2-T.216	HSI	T2	side	0.2866
T2-T.217	HSI	T2	side	0.3332
T2-T.218	HSI	T2	side	0.3042
T2-T.219	HSI	T2	side	0.3286
T2-T.220	HSI	T2	side	0.288
T2-T.221	HSI	T2	side	0.356
T2-T.222	HSI	T2	side	0.2902
T2-T.223	HSI	T2	side	0.3266
T2-T.224	HSI	T2	side	0.232
T2-dT.1	HSI	T2	side	0.3172
T2-dT.2	HSI	T2	side	0.3466
T2-dT.3	HSI	T2	side	0.3534
T2-dT.4	HSI	T2	side	0.425
T2-dT.5	HSI	T2	side	0.4394
T2-dT.6	HSI	T2	side	0.3712
T2-dT.7	HSI	T2	side	0.3976
T2-dT.8	HSI	T2	side	0.348
T2-dT.9	HSI	T2	side	0.4282
T2-dT.10	HSI	T2	side	0.2866
T2-dT.11	HSI	T2	side	0.3172
T2-dT.12	HSI	T2	side	0.4238
T2-dT.13	HSI	T2	side	0.4468
T2-dT.14	HSI	T2	side	0.4498
T2-dT.15	HSI	T2	side	0.3354
T2-dT.16	HSI	T2	side	0.4164
T2-dT.17	HSI	T2	side	0.3646
T2-dT.18	HSI	T2	side	0.4124
T2-dT.19	HSI	T2	side	0.3424
T2-dT.20	HSI	T2	side	0.5048
T2-dT.21	HSI	T2	side	0.4642
T2-dT.22	HSI	T2	side	0.4486
T2-dT.23	HSI	T2	side	0.413
T2-dT.24	HSI	T2	side	0.2976
T2-dT.25	HSI	T2	side	0.3152
T2-dT.26	HSI	T2	side	0.3064
T2-dT.27	HSI	T2	side	0.4412
T2-dT.28	HSI	T2	side	0.4586
T2-dT.29	HSI	T2	side	0.364
T2-dT.30	HSI	T2	side	0.4092
T2-dT.31	HSI	T2	side	0.3392
T2-dT.32	HSI	T2	side	0.3988
T2-dT.33	HSI	T2	side	0.308
T2-dT.34	HSI	T2	side	0.3828
T2-dT.35	HSI	T2	side	0.4688
T2-dT.36	HSI	T2	side	0.3432
T2-dT.37	HSI	T2	side	0.3962
T2-dT.38	HSI	T2	side	0.4544
T2-dT.39	HSI	T2	side	0.3774
T2-dT.40	HSI	T2	side	0.462
T2-dT.41	HSI	T2	side	0.3368
T2-dT.42	HSI	T2	side	0.4264
T2-dT.43	HSI	T2	side	0.3662
T2-dT.44	HSI	T2	side	0.374
T2-dT.45	HSI	T2	side	0.3178
T2-dT.46	HSI	T2	side	0.2756
T2-dT.47	HSI	T2	side	0.295
T2-dT.48	HSI	T2	side	0.3796
T2-dT.49	HSI	T2	side	0.3018
T2-dT.50	HSI	T2	side	0.3124
T2-dT.51	HSI	T2	side	0.3374
T2-dT.52	HSI	T2	side	0.2974
T2-dT.53	HSI	T2	side	0.3264
T2-dT.54	HSI	T2	side	0.3708
T2-dT.55	HSI	T2	side	0.3578
T2-dT.56	HSI	T2	side	0.3556
T2-dT.57	HSI	T2	side	0.4328
T2-dT.58	HSI	T2	side	0.401
T2-dT.59	HSI	T2	side	0.4046
T2-dT.60	HSI	T2	side	0.3144
T2-dT.61	HSI	T2	side	0.295
T2-dT.62	HSI	T2	side	0.2968
T2-dT.63	HSI	T2	side	0.3814
T2-dT.64	HSI	T2	side	0.3198
T2-dT.65	HSI	T2	side	0.2572
T2-dT.66	HSI	T2	side	0.3268
T2-dT.67	HSI	T2	side	0.4276
T2-dT.68	HSI	T2	side	0.2566
T2-dT.69	HSI	T2	side	0.2428
T2-dT.70	HSI	T2	side	0.3498
T2-dT.71	HSI	T2	side	0.366
T2-dT.72	HSI	T2	side	0.3938
T2-dT.73	HSI	T2	side	0.394
T2-dT.74	HSI	T2	side	0.3504
T2-dT.75	HSI	T2	side	0.351
T2-dT.76	HSI	T2	side	0.4822
T2-dT.77	HSI	T2	side	0.3886
T2-dT.78	HSI	T2	side	0.465
T2-dT.79	HSI	T2	side	0.3724
T2-dT.80	HSI	T2	side	0.3296
T2-dT.81	HSI	T2	side	0.3604
T2-dT.82	HSI	T2	side	0.3212
T2-dT.83	HSI	T2	side	0.309
T2-dT.84	HSI	T2	side	0.337
T2-dT.85	HSI	T2	side	0.4244
T2-dT.86	HSI	T2	side	0.294
T2-dT.87	HSI	T2	side	0.4044
T2-dT.88	HSI	T2	side	0.3736
T2-dT.89	HSI	T2	side	0.3752
T2-dT.90	HSI	T2	side	0.446
T2-dT.91	HSI	T2	side	0.3512
T2-dT.92	HSI	T2	side	0.3186
T2-dT.93	HSI	T2	side	0.327
T2-dT.94	HSI	T2	side	0.3524
T2-dT.95	HSI	T2	side	0.359
T2-dT.96	HSI	T2	side	0.4122
T2-dT.97	HSI	T2	side	0.356
T2-dT.98	HSI	T2	side	0.4148
T2-dT.99	HSI	T2	side	0.3806
T2-dT.100	HSI	T2	side	0.3424
T2-dT.101	HSI	T2	side	0.3452
T2-dT.102	HSI	T2	side	0.2946
T2-dT.103	HSI	T2	side	0.291
T2-dT.104	HSI	T2	side	0.38
T2-dT.105	HSI	T2	side	0.4276
T2-dT.106	HSI	T2	side	0.363
T2-dT.107	HSI	T2	side	0.3154
T2-dT.108	HSI	T2	side	0.3334
T2-dT.109	HSI	T2	side	0.4078
T2-dT.110	HSI	T2	side	0.286
T2-dT.111	HSI	T2	side	0.3426
T2-dT.112	HSI	T2	side	0.2594
T2-dT.113	HSI	T2	side	0.2816
T2-dT.114	HSI	T2	side	0.2966
T2-dT.115	HSI	T2	side	0.3038
T2-dT.116	HSI	T2	side	0.2734
T2-dT.117	HSI	T2	side	0.2768
T2-dT.118	HSI	T2	side	0.223
T2-dT.119	HSI	T2	side	0.2908
T2-dT.120	HSI	T2	side	0.2684
T2-dT.121	HSI	T2	side	0.2988
T2-dT.122	HSI	T2	side	0.2832
T2-dT.123	HSI	T2	side	0.328
T2-dT.124	HSI	T2	side	0.254
T2-dT.125	HSI	T2	side	0.2976
T2-dT.126	HSI	T2	side	0.3038
T2-dT.127	HSI	T2	side	0.3032
T2-dT.128	HSI	T2	side	0.2654
T2-dT.129	HSI	T2	side	0.3272
T2-dT.130	HSI	T2	side	0.3446
T2-dT.131	HSI	T2	side	0.2956
T2-dT.132	HSI	T2	side	0.286
T2-dT.133	HSI	T2	side	0.2744
T2-dT.134	HSI	T2	side	0.2784
T2-dT.135	HSI	T2	side	0.262
T2-dT.136	HSI	T2	side	0.3166
T2-dT.137	HSI	T2	side	0.3608
T2-dT.138	HSI	T2	side	0.32
T2-dT.139	HSI	T2	side	0.3642
T2-dT.140	HSI	T2	side	0.2918
T2-dT.141	HSI	T2	side	0.3328
T2-dT.142	HSI	T2	side	0.3178
T2-dT.143	HSI	T2	side	0.4076
T2-dT.144	HSI	T2	side	0.365
T2-dT.145	HSI	T2	side	0.353
T2-dT.146	HSI	T2	side	0.4588
T2-dT.147	HSI	T2	side	0.2782
T2-dT.148	HSI	T2	side	0.363
T2-dT.149	HSI	T2	side	0.3448
T2-dT.150	HSI	T2	side	0.2524
T2-dT.151	HSI	T2	side	0.3328
T2-dT.152	HSI	T2	side	0.3888
T2-dT.153	HSI	T2	side	0.3344
T2-dT.154	HSI	T2	side	0.3876
T2-dT.155	HSI	T2	side	0.3982
T2-dT.156	HSI	T2	side	0.3954
T2-dT.157	HSI	T2	side	0.3562
T2-dT.158	HSI	T2	side	0.4266
T2-dT.159	HSI	T2	side	0.3368
T2-dT.160	HSI	T2	side	0.327
T2-dT.161	HSI	T2	side	0.4468
T2-dT.162	HSI	T2	side	0.4892
T2-dT.163	HSI	T2	side	0.3356
T2-dT.164	HSI	T2	side	0.4714
T2-dT.165	HSI	T2	side	0.4222
T2-dT.166	HSI	T2	side	0.417
T2-dT.167	HSI	T2	side	0.3302
T2-dT.168	HSI	T2	side	0.3582
T2-dT.169	HSI	T2	side	0.3642
T2-dT.170	HSI	T2	side	0.3418
T2-dT.171	HSI	T2	side	0.3034
T2-dT.172	HSI	T2	side	0.3876
T2-dT.173	HSI	T2	side	0.3438
T2-dT.174	HSI	T2	side	0.3092
T2-dT.175	HSI	T2	side	0.3438
T2-dT.176	HSI	T2	side	0.3296
T2-dT.177	HSI	T2	side	0.2178
T2-dT.178	HSI	T2	side	0.38
T2-dT.179	HSI	T2	side	0.3172
T2-dT.180	HSI	T2	side	0.5456
T2-dT.181	HSI	T2	side	0.392
T2-dT.182	HSI	T2	side	0.3976
T2-dT.183	HSI	T2	side	0.4566
T2-dT.184	HSI	T2	side	0.3668
T2-dT.185	HSI	T2	side	0.4752
T2-dT.186	HSI	T2	side	0.3784
T2-dT.187	HSI	T2	side	0.3406
T2-dT.188	HSI	T2	side	0.3342
T2-dT.189	HSI	T2	side	0.3534
T2-dT.190	HSI	T2	side	0.3972
T2-dT.191	HSI	T2	side	0.3478
T2-dT.192	HSI	T2	side	0.409
T2-dT.193	HSI	T2	side	0.4084
T2-dT.194	HSI	T2	side	0.46
T2-dT.195	HSI	T2	side	0.414
T2-dT.196	HSI	T2	side	0.4362
T2-dT.197	HSI	T2	side	0.3482
T2-dT.198	HSI	T2	side	0.3818
T2-dT.199	HSI	T2	side	0.3314
T2-dT.200	HSI	T2	side	0.338
T2-dT.201	HSI	T2	side	0.4734
T2-dT.202	HSI	T2	side	0.4184
T2-dT.203	HSI	T2	side	0.4422
T2-dT.204	HSI	T2	side	0.3414
T2-dT.205	HSI	T2	side	0.3118
T2-dT.206	HSI	T2	side	0.3132
T2-dT.207	HSI	T2	side	0.4156
T2-dT.208	HSI	T2	side	0.5734
T2-dT.209	HSI	T2	side	0.3656
T2-dT.210	HSI	T2	side	0.3508
T2-dT.211	HSI	T2	side	0.3786
T2-dT.212	HSI	T2	side	0.4096
T2-dT.213	HSI	T2	side	0.3684
T2-dT.214	HSI	T2	side	0.3434
T2-dT.215	HSI	T2	side	0.5872
T2-dT.216	HSI	T2	side	0.4776
T2-dT.217	HSI	T2	side	0.3858
T2-dT.218	HSI	T2	side	0.3706
T2-dT.219	HSI	T2	side	0.3982
T2-dT.220	HSI	T2	side	0.3438
T2-dT.221	HSI	T2	side	0.3986
T2-dT.222	HSI	T2	side	0.3732
T2-dT.223	HSI	T2	side	0.424
T2-dT.224	HSI	T2	side	0.3296
T2-ddT.1	HSI	T2	side	0.291
T2-ddT.2	HSI	T2	side	0.299
T2-ddT.3	HSI	T2	side	0.3236
T2-ddT.4	HSI	T2	side	0.3342
T2-ddT.5	HSI	T2	side	0.3866
T2-ddT.6	HSI	T2	side	0.4066
T2-ddT.7	HSI	T2	side	0.3132
T2-ddT.8	HSI	T2	side	0.4674
T2-ddT.9	HSI	T2	side	0.404
T2-ddT.10	HSI	T2	side	0.4942
T2-ddT.11	HSI	T2	side	0.3692
T2-ddT.12	HSI	T2	side	0.3268
T2-ddT.13	HSI	T2	side	0.358
T2-ddT.14	HSI	T2	side	0.3904
T2-ddT.15	HSI	T2	side	0.4038
T2-ddT.16	HSI	T2	side	0.4862
T2-ddT.17	HSI	T2	side	0.4388
T2-ddT.18	HSI	T2	side	0.3422
T2-ddT.19	HSI	T2	side	0.41
T2-ddT.20	HSI	T2	side	0.3778
T2-ddT.21	HSI	T2	side	0.4212
T2-ddT.22	HSI	T2	side	0.3838
T2-ddT.23	HSI	T2	side	0.3774
T2-ddT.24	HSI	T2	side	0.416
T2-ddT.25	HSI	T2	side	0.3048
T2-ddT.26	HSI	T2	side	0.503
T2-ddT.27	HSI	T2	side	0.3146
T2-ddT.28	HSI	T2	side	0.36
T2-ddT.29	HSI	T2	side	0.4516
T2-ddT.30	HSI	T2	side	0.3042
T2-ddT.31	HSI	T2	side	0.4436
T2-ddT.32	HSI	T2	side	0.3536
T2-ddT.33	HSI	T2	side	0.4146
T2-ddT.34	HSI	T2	side	0.4092
T2-ddT.35	HSI	T2	side	0.4102
T2-ddT.36	HSI	T2	side	0.3796
T2-ddT.37	HSI	T2	side	0.4356
T2-ddT.38	HSI	T2	side	0.495
T2-ddT.39	HSI	T2	side	0.4642
T2-ddT.40	HSI	T2	side	0.3764
T2-ddT.41	HSI	T2	side	0.4286
T2-ddT.42	HSI	T2	side	0.3662
T2-ddT.43	HSI	T2	side	0.3202
T2-ddT.44	HSI	T2	side	0.2932
T2-ddT.45	HSI	T2	side	0.3758
T2-ddT.46	HSI	T2	side	0.5638
T2-ddT.47	HSI	T2	side	0.3296
T2-ddT.48	HSI	T2	side	0.3352
T2-ddT.49	HSI	T2	side	0.2678
T2-ddT.50	HSI	T2	side	0.3162
T2-ddT.51	HSI	T2	side	0.366
T2-ddT.52	HSI	T2	side	0.4298
T2-ddT.53	HSI	T2	side	0.3932
T2-ddT.54	HSI	T2	side	0.4434
T2-ddT.55	HSI	T2	side	0.32
T2-ddT.56	HSI	T2	side	0.4624
T2-ddT.57	HSI	T2	side	0.362
T2-ddT.58	HSI	T2	side	0.335
T2-ddT.59	HSI	T2	side	0.3306
T2-ddT.60	HSI	T2	side	0.4022
T2-ddT.61	HSI	T2	side	0.337
T2-ddT.62	HSI	T2	side	0.3592
T2-ddT.63	HSI	T2	side	0.3446
T2-ddT.64	HSI	T2	side	0.326
T2-ddT.65	HSI	T2	side	0.3856
T2-ddT.66	HSI	T2	side	0.38
T2-ddT.67	HSI	T2	side	0.4298
T2-ddT.68	HSI	T2	side	0.3926
T2-ddT.69	HSI	T2	side	0.4492
T2-ddT.70	HSI	T2	side	0.3424
T2-ddT.71	HSI	T2	side	0.2802
T2-ddT.72	HSI	T2	side	0.4392
T2-ddT.73	HSI	T2	side	0.3226
T2-ddT.74	HSI	T2	side	0.4102
T2-ddT.75	HSI	T2	side	0.3542
T2-ddT.76	HSI	T2	side	0.3512
T2-ddT.77	HSI	T2	side	0.4308
T2-ddT.78	HSI	T2	side	0.4112
T2-ddT.79	HSI	T2	side	0.3184
T2-ddT.80	HSI	T2	side	0.4576
T2-ddT.81	HSI	T2	side	0.4344
T2-ddT.82	HSI	T2	side	0.3442
T2-ddT.83	HSI	T2	side	0.4524
T2-ddT.84	HSI	T2	side	0.3076
T2-ddT.85	HSI	T2	side	0.328
T2-ddT.86	HSI	T2	side	0.3726
T2-ddT.87	HSI	T2	side	0.2906
T2-ddT.88	HSI	T2	side	0.3548
T2-ddT.89	HSI	T2	side	0.3378
T2-ddT.90	HSI	T2	side	0.333
T2-ddT.91	HSI	T2	side	0.4366
T2-ddT.92	HSI	T2	side	0.3608
T2-ddT.93	HSI	T2	side	0.4818
T2-ddT.94	HSI	T2	side	0.4232
T2-ddT.95	HSI	T2	side	0.3696
T2-ddT.96	HSI	T2	side	0.3192
T2-ddT.97	HSI	T2	side	0.3758
T2-ddT.98	HSI	T2	side	0.4442
T2-ddT.99	HSI	T2	side	0.3568
T2-ddT.100	HSI	T2	side	0.3482
T2-ddT.101	HSI	T2	side	0.299
T2-ddT.102	HSI	T2	side	0.426
T2-ddT.103	HSI	T2	side	0.3438
T2-ddT.104	HSI	T2	side	0.3516
T2-ddT.105	HSI	T2	side	0.336
T2-ddT.106	HSI	T2	side	0.3542
T2-ddT.107	HSI	T2	side	0.348
T2-ddT.108	HSI	T2	side	0.3994
T2-ddT.109	HSI	T2	side	0.3034
T2-ddT.110	HSI	T2	side	0.3444
T2-ddT.111	HSI	T2	side	0.3774
T2-ddT.112	HSI	T2	side	0.3166
T2-ddT.113	HSI	T2	side	0.269
T2-ddT.114	HSI	T2	side	0.269
T2-ddT.115	HSI	T2	side	0.2736
T2-ddT.116	HSI	T2	side	0.3618
T2-ddT.117	HSI	T2	side	0.3992
T2-ddT.118	HSI	T2	side	0.341
T2-ddT.119	HSI	T2	side	0.3676
T2-ddT.120	HSI	T2	side	0.2708
T2-ddT.121	HSI	T2	side	0.364
T2-ddT.122	HSI	T2	side	0.4
T2-ddT.123	HSI	T2	side	0.3544
T2-ddT.124	HSI	T2	side	0.3362
T2-ddT.125	HSI	T2	side	0.4746
T2-ddT.126	HSI	T2	side	0.4042
T2-ddT.127	HSI	T2	side	0.2896
T2-ddT.128	HSI	T2	side	0.317
T2-ddT.129	HSI	T2	side	0.3338
T2-ddT.130	HSI	T2	side	0.3122
T2-ddT.131	HSI	T2	side	0.3
T2-ddT.132	HSI	T2	side	0.2596
T2-ddT.133	HSI	T2	side	0.4244
T2-ddT.134	HSI	T2	side	0.3372
T2-ddT.135	HSI	T2	side	0.365
T2-ddT.136	HSI	T2	side	0.4832
T2-ddT.137	HSI	T2	side	0.3922
T2-ddT.138	HSI	T2	side	0.343
T2-ddT.139	HSI	T2	side	0.403
T2-ddT.140	HSI	T2	side	0.4488
T2-ddT.141	HSI	T2	side	0.4192
T2-ddT.142	HSI	T2	side	0.367
T2-ddT.143	HSI	T2	side	0.3996
T2-ddT.144	HSI	T2	side	0.3082
T2-ddT.145	HSI	T2	side	0.4408
T2-ddT.146	HSI	T2	side	0.42
T2-ddT.147	HSI	T2	side	0.4182
T2-ddT.148	HSI	T2	side	0.3698
T2-ddT.149	HSI	T2	side	0.3316
T2-ddT.150	HSI	T2	side	0.3494
T2-ddT.151	HSI	T2	side	0.3896
T2-ddT.152	HSI	T2	side	0.3582
T2-ddT.153	HSI	T2	side	0.4092
T2-ddT.154	HSI	T2	side	0.3368
T2-ddT.155	HSI	T2	side	0.4232
T2-ddT.156	HSI	T2	side	0.3786
T2-ddT.157	HSI	T2	side	0.3972
T2-ddT.158	HSI	T2	side	0.3468
T2-ddT.159	HSI	T2	side	0.3064
T2-ddT.160	HSI	T2	side	0.3968
T2-ddT.161	HSI	T2	side	0.3396
T2-ddT.162	HSI	T2	side	0.3916
T2-ddT.163	HSI	T2	side	0.4464
T2-ddT.164	HSI	T2	side	0.298
T2-ddT.165	HSI	T2	side	0.394
T2-ddT.166	HSI	T2	side	0.3532
T2-ddT.167	HSI	T2	side	0.514
T2-ddT.168	HSI	T2	side	0.3482
T2-ddT.169	HSI	T2	side	0.3796
T2-ddT.170	HSI	T2	side	0.404
T2-ddT.171	HSI	T2	side	0.3718
T2-ddT.172	HSI	T2	side	0.4208
T2-ddT.173	HSI	T2	side	0.3558
T2-ddT.174	HSI	T2	side	0.391
T2-ddT.175	HSI	T2	side	0.3406
T2-ddT.176	HSI	T2	side	0.2926
T2-ddT.177	HSI	T2	side	0.3296
T2-ddT.178	HSI	T2	side	0.3158
T2-ddT.179	HSI	T2	side	0.4348
T2-ddT.180	HSI	T2	side	0.4878
T2-ddT.181	HSI	T2	side	0.4684
T2-ddT.182	HSI	T2	side	0.3872
T2-ddT.183	HSI	T2	side	0.4622
T2-ddT.184	HSI	T2	side	0.5092
T2-ddT.185	HSI	T2	side	0.3698
T2-ddT.186	HSI	T2	side	0.4452
T2-ddT.187	HSI	T2	side	0.3216
T2-ddT.188	HSI	T2	side	0.394
T2-ddT.189	HSI	T2	side	0.4268
T2-ddT.190	HSI	T2	side	0.3264
T2-ddT.191	HSI	T2	side	0.527
T2-ddT.192	HSI	T2	side	0.4154
T2-ddT.193	HSI	T2	side	0.3836
T2-ddT.194	HSI	T2	side	0.3788
T2-ddT.195	HSI	T2	side	0.4742
T2-ddT.196	HSI	T2	side	0.3798
T2-ddT.197	HSI	T2	side	0.4184
T2-ddT.198	HSI	T2	side	0.4088
T2-ddT.199	HSI	T2	side	0.4078
T2-ddT.200	HSI	T2	side	0.399
T2-ddT.201	HSI	T2	side	0.356
T2-ddT.202	HSI	T2	side	0.522
T2-ddT.203	HSI	T2	side	0.379
T2-ddT.204	HSI	T2	side	0.3654
T2-ddT.205	HSI	T2	side	0.4108
T2-ddT.206	HSI	T2	side	0.3622
T2-ddT.207	HSI	T2	side	0.352
T2-ddT.208	HSI	T2	side	0.4094
T2-ddT.209	HSI	T2	side	0.5596
T2-ddT.210	HSI	T2	side	0.451
T2-ddT.211	HSI	T2	side	0.425
T2-ddT.212	HSI	T2	side	0.372
T2-ddT.213	HSI	T2	side	0.4122
T2-ddT.214	HSI	T2	side	0.4484
T2-ddT.215	HSI	T2	side	0.5098
T2-ddT.216	HSI	T2	side	0.301
T2-ddT.217	HSI	T2	side	0.4128
T2-ddT.218	HSI	T2	side	0.3638
T2-ddT.219	HSI	T2	side	0.3546
T2-ddT.220	HSI	T2	side	0.3656
T2-ddT.221	HSI	T2	side	0.315
T2-ddT.222	HSI	T2	side	0.3932
T2-ddT.223	HSI	T2	side	0.3234
T2-ddT.224	HSI	T2	side	0.3072
T2-A.1	HSI	T2	side	0.307
T2-A.2	HSI	T2	side	0.289
T2-A.3	HSI	T2	side	0.294
T2-A.4	HSI	T2	side	0.2626
T2-A.5	HSI	T2	side	0.272
T2-A.6	HSI	T2	side	0.3298
T2-A.7	HSI	T2	side	0.3594
T2-A.8	HSI	T2	side	0.3056
T2-A.9	HSI	T2	side	0.2794
T2-A.10	HSI	T2	side	0.2932
T2-A.11	HSI	T2	side	0.2668
T2-A.12	HSI	T2	side	0.3118
T2-A.13	HSI	T2	side	0.3212
T2-A.14	HSI	T2	side	0.2822
T2-A.15	HSI	T2	side	0.3452
T2-A.16	HSI	T2	side	0.359
T2-A.17	HSI	T2	side	0.3428
T2-A.18	HSI	T2	side	0.3094
T2-A.19	HSI	T2	side	0.314
T2-A.20	HSI	T2	side	0.328
T2-A.21	HSI	T2	side	0.3504
T2-A.22	HSI	T2	side	0.3382
T2-A.23	HSI	T2	side	0.2944
T2-A.24	HSI	T2	side	0.3206
T2-A.25	HSI	T2	side	0.3188
T2-A.26	HSI	T2	side	0.2852
T2-A.27	HSI	T2	side	0.288
T2-A.28	HSI	T2	side	0.257
T2-A.29	HSI	T2	side	0.2708
T2-A.30	HSI	T2	side	0.3074
T2-A.31	HSI	T2	side	0.2856
T2-A.32	HSI	T2	side	0.3282
T2-A.33	HSI	T2	side	0.3548
T2-A.34	HSI	T2	side	0.3142
T2-A.35	HSI	T2	side	0.2702
T2-A.36	HSI	T2	side	0.2862
T2-A.37	HSI	T2	side	0.257
T2-A.38	HSI	T2	side	0.3374
T2-A.39	HSI	T2	side	0.2456
T2-A.40	HSI	T2	side	0.3036
T2-A.41	HSI	T2	side	0.2686
T2-A.42	HSI	T2	side	0.323
T2-A.43	HSI	T2	side	0.2732
T2-A.44	HSI	T2	side	0.2652
T2-A.45	HSI	T2	side	0.314
T2-A.46	HSI	T2	side	0.2974
T2-A.47	HSI	T2	side	0.263
T2-A.48	HSI	T2	side	0.3454
T2-A.49	HSI	T2	side	0.2656
T2-A.50	HSI	T2	side	0.33
T2-A.51	HSI	T2	side	0.2924
T2-A.52	HSI	T2	side	0.349
T2-A.53	HSI	T2	side	0.3836
T2-A.54	HSI	T2	side	0.3022
T2-A.55	HSI	T2	side	0.3214
T2-A.56	HSI	T2	side	0.301
T2-A.57	HSI	T2	side	0.5928
T2-A.58	HSI	T2	side	0.3226
T2-A.59	HSI	T2	side	0.6564
T2-A.60	HSI	T2	side	0.3332
T2-A.61	HSI	T2	side	0.3264
T2-A.62	HSI	T2	side	0.272
T2-A.63	HSI	T2	side	0.338
T2-A.64	HSI	T2	side	0.3462
T2-A.65	HSI	T2	side	0.3046
T2-A.66	HSI	T2	side	0.3814
T2-A.67	HSI	T2	side	0.2828
T2-A.68	HSI	T2	side	0.3284
T2-A.69	HSI	T2	side	0.3376
T2-A.70	HSI	T2	side	0.2812
T2-A.71	HSI	T2	side	0.2992
T2-A.72	HSI	T2	side	0.5608
T2-A.73	HSI	T2	side	0.2506
T2-A.74	HSI	T2	side	0.281
T2-A.75	HSI	T2	side	0.296
T2-A.76	HSI	T2	side	0.5462
T2-A.77	HSI	T2	side	0.309
T2-A.78	HSI	T2	side	0.5644
T2-A.79	HSI	T2	side	0.3568
T2-A.80	HSI	T2	side	0.2786
T2-A.81	HSI	T2	side	0.5236
T2-A.82	HSI	T2	side	0.5228
T2-A.83	HSI	T2	side	0.4402
T2-A.84	HSI	T2	side	0.624
T2-A.85	HSI	T2	side	0.5824
T2-A.86	HSI	T2	side	0.6622
T2-A.87	HSI	T2	side	0.4648
T2-A.88	HSI	T2	side	0.5154
T2-A.89	HSI	T2	side	0.287
T2-A.90	HSI	T2	side	0.5786
T2-A.91	HSI	T2	side	0.5488
T2-A.92	HSI	T2	side	0.561
T2-A.93	HSI	T2	side	0.6092
T2-A.94	HSI	T2	side	0.522
T2-A.95	HSI	T2	side	0.5312
T2-A.96	HSI	T2	side	0.5466
T2-A.97	HSI	T2	side	0.5214
T2-A.98	HSI	T2	side	0.4596
T2-A.99	HSI	T2	side	0.5616
T2-A.100	HSI	T2	side	0.5452
T2-A.101	HSI	T2	side	0.2716
T2-A.102	HSI	T2	side	0.3098
T2-A.103	HSI	T2	side	0.5702
T2-A.104	HSI	T2	side	0.5548
T2-A.105	HSI	T2	side	0.5784
T2-A.106	HSI	T2	side	0.506
T2-A.107	HSI	T2	side	0.5364
T2-A.108	HSI	T2	side	0.5998
T2-A.109	HSI	T2	side	0.5582
T2-A.110	HSI	T2	side	0.5702
T2-A.111	HSI	T2	side	0.5986
T2-A.112	HSI	T2	side	0.5922
T2-A.113	HSI	T2	side	0.382
T2-A.114	HSI	T2	side	0.3354
T2-A.115	HSI	T2	side	0.3236
T2-A.116	HSI	T2	side	0.3092
