i-traits	type	date	angle	MLP
T1-T.152	HSI	T1	side	0.3958
T1-T.153	HSI	T1	side	0.405
T1-T.154	HSI	T1	side	0.3548
T1-T.155	HSI	T1	side	0.3758
T1-T.156	HSI	T1	side	0.326
T1-T.157	HSI	T1	side	0.3866
T1-T.158	HSI	T1	side	0.3718
T1-T.159	HSI	T1	side	0.406
T1-T.160	HSI	T1	side	0.3086
T1-T.161	HSI	T1	side	0.3864
T1-T.162	HSI	T1	side	0.4102
T1-T.163	HSI	T1	side	0.3256
T1-T.164	HSI	T1	side	0.359
T1-T.165	HSI	T1	side	0.3394
T1-T.166	HSI	T1	side	0.3852
T1-T.167	HSI	T1	side	0.4382
T1-T.168	HSI	T1	side	0.3828
T1-T.169	HSI	T1	side	0.3382
T1-T.170	HSI	T1	side	0.3108
T1-T.171	HSI	T1	side	0.3746
T1-T.172	HSI	T1	side	0.36
T1-T.173	HSI	T1	side	0.338
T1-T.174	HSI	T1	side	0.3624
T1-T.175	HSI	T1	side	0.4152
T1-T.176	HSI	T1	side	0.3328
T1-T.177	HSI	T1	side	0.4458
T1-T.178	HSI	T1	side	0.322
T1-T.179	HSI	T1	side	0.354
T1-T.180	HSI	T1	side	0.3888
T1-T.181	HSI	T1	side	0.382
T1-T.182	HSI	T1	side	0.4284
T1-T.183	HSI	T1	side	0.4078
T1-T.184	HSI	T1	side	0.397
T1-T.185	HSI	T1	side	0.3754
T1-T.186	HSI	T1	side	0.373
T1-T.187	HSI	T1	side	0.467
T1-T.188	HSI	T1	side	0.4468
T1-T.189	HSI	T1	side	0.3786
T1-T.190	HSI	T1	side	0.3878
T1-T.191	HSI	T1	side	0.4212
T1-T.192	HSI	T1	side	0.379
T1-T.193	HSI	T1	side	0.3896
T1-T.194	HSI	T1	side	0.3498
T1-T.195	HSI	T1	side	0.3026
T1-T.196	HSI	T1	side	0.3698
T1-T.197	HSI	T1	side	0.3964
T1-T.198	HSI	T1	side	0.388
T1-T.199	HSI	T1	side	0.4352
T1-T.200	HSI	T1	side	0.3776
T1-T.201	HSI	T1	side	0.3448
T1-T.202	HSI	T1	side	0.3792
T1-T.203	HSI	T1	side	0.3306
T1-T.204	HSI	T1	side	0.4268
T1-T.205	HSI	T1	side	0.3306
T1-T.206	HSI	T1	side	0.3636
T1-T.207	HSI	T1	side	0.4274
T1-T.208	HSI	T1	side	0.3616
